Date,Name,Year,Letterboxd URI,Rating
2023-07-08,Ocean Waves,1993,https://boxd.it/1CtQ,3
2023-07-08,Death Note,2006,https://boxd.it/psEs,4
2023-07-08,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,https://boxd.it/nyLU,4
2023-07-08,Cyberpunk: Edgerunners,2022,https://boxd.it/COP4,5
2023-07-08,The Last: Naruto the Movie,2014,https://boxd.it/agGm,3
2023-07-08,Your Lie in April,2014,https://boxd.it/px2S,4
2023-07-08,Hotarubi no Mori e,2011,https://boxd.it/3euO,3.5
2023-07-08,AnoHana: The Flower We Saw That Day,2011,https://boxd.it/py2Y,4
2023-07-08,Words Bubble Up Like Soda Pop,2020,https://boxd.it/ljhG,3.5
2023-07-08,Violet Evergarden: Eternity and the Auto Memory Doll,2019,https://boxd.it/mzze,3.5
2023-07-08,Weathering with You,2019,https://boxd.it/kPxE,4
2023-07-08,Bubble,2022,https://boxd.it/ymG6,3.5
2023-07-08,Violet Evergarden: The Movie,2020,https://boxd.it/jpFg,4
2023-07-08,Demon Slayer: Kimetsu no Yaiba,2019,https://boxd.it/pKsE,3.5
2023-07-08,Fireworks,2017,https://boxd.it/fjvm,3
2023-07-08,A Whisker Away,2020,https://boxd.it/oQEa,4
2023-07-08,Tokyo Ghoul,2014,https://boxd.it/qdwq,5
2023-07-08,Bakemonogatari,2009,https://boxd.it/tExw,3.5
2023-07-08,Kotaro Lives Alone,2022,https://boxd.it/zR7e,3.5
2023-07-08,Flowers of Evil,2013,https://boxd.it/q0mW,3.5
2023-07-08,Great Pretender,2020,https://boxd.it/sgs6,4
2023-07-08,Death Parade,2015,https://boxd.it/oIY2,3.5
2023-07-08,Blue Period,2021,https://boxd.it/yy86,4
2023-07-08,Wotakoi: Love Is Hard for Otaku,2018,https://boxd.it/ruke,4
2023-07-08,Grand Blue Dreaming,2018,https://boxd.it/rBvS,4
2023-07-08,Orange,2016,https://boxd.it/qdvM,3
2023-07-08,Blue Spring Ride,2014,https://boxd.it/qkl0,3.5
2023-07-08,Horimiya,2021,https://boxd.it/tXfc,4
2023-07-08,The Dark Knight Rises,2012,https://boxd.it/H3m,4
2023-07-08,Kung Fu Panda 3,2016,https://boxd.it/4uRQ,3.5
2023-07-09,Despicable Me 2,2013,https://boxd.it/3gg0,3
2023-07-09,Grown Ups,2010,https://boxd.it/169a,3
2023-07-09,Vinland Saga,2019,https://boxd.it/qdwU,5
2023-07-09,La La Land,2016,https://boxd.it/a5fa,2.5
2023-07-09,The Lost City,2022,https://boxd.it/sg0Q,3
