Date,Name,Year,Letterboxd URI,Rating
2023-08-13,The Falcon and the Winter Soldier,2021,https://boxd.it/sbH6,3
2023-08-13,Coach Carter,2005,https://boxd.it/218e,3.5
2023-08-13,Space Jam,1996,https://boxd.it/26YO,2.5
2023-08-13,Sharknado,2013,https://boxd.it/69Qc,4
2023-08-13,White Men Can't Jump,1992,https://boxd.it/1WWy,4
2023-08-14,Sicario,2015,https://boxd.it/8i7u,5
2023-08-14,Saw,2004,https://boxd.it/2aWW,3.5
2023-08-15,The Adventures of Sharkboy and Lavagirl,2005,https://boxd.it/1Ozm,1.5
2023-08-16,The Wolf of Wall Street,2013,https://boxd.it/3C1m,2
2023-08-16,Black Mirror: The National Anthem,2011,https://boxd.it/hQYK,1.5
2023-08-17,Spider-Man,2002,https://boxd.it/2a8i,3.5
2023-08-18,Dunkirk,2017,https://boxd.it/d0Y6,4
2023-08-19,Blade Runner 2049,2017,https://boxd.it/b8wK,4.5
2023-08-20,The Lighthouse,2019,https://boxd.it/icFU,5
2023-08-20,The Witch,2015,https://boxd.it/9X0m,4.5
2023-08-21,Jurassic World,2015,https://boxd.it/4n0g,3
2023-08-21,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU,2
2023-08-21,The Lost World: Jurassic Park,1997,https://boxd.it/2azS,3.5
2023-08-21,Jurassic Park III,2001,https://boxd.it/2azI,3
2023-08-21,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu,3.5
2023-08-21,Soul,2020,https://boxd.it/ioLA,3.5
2023-08-21,Skyscraper,2018,https://boxd.it/fVqa,2
2023-08-21,A Few Good Men,1992,https://boxd.it/29nw,2.5
2023-08-21,Black Mirror: The Entire History of You,2011,https://boxd.it/hQZ4,2.5
2023-08-21,Jumanji,1995,https://boxd.it/1ZLI,3.5
2023-08-21,Joker,2019,https://boxd.it/h4cS,3.5
2023-08-22,Free Guy,2021,https://boxd.it/k8dm,3
2023-08-23,Life,2017,https://boxd.it/dRqG,2.5
2023-08-24,Dark Waters,2019,https://boxd.it/kaYu,3
2023-08-25,Chernobyl,2019,https://boxd.it/mkbG,5
2023-08-26,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,4
2023-08-27,Titanic,1997,https://boxd.it/2a2k,3.5
2023-08-28,Nightcrawler,2014,https://boxd.it/780m,4.5
2023-09-01,About Time,2013,https://boxd.it/43bI,4
2023-09-01,Divergent,2014,https://boxd.it/4VT0,2
2023-09-02,Black Swan,2010,https://boxd.it/Sw0,4.5
2023-09-02,Where the Wild Things Are,2009,https://boxd.it/1K0C,3
2023-09-03,Django Unchained,2012,https://boxd.it/2cCk,4.5
2023-09-04,The Northman,2022,https://boxd.it/nK2s,4.5
2023-09-04,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,3.5
2023-09-04,The Meg,2018,https://boxd.it/bAL4,1.5
2023-09-04,Meg 2: The Trench,2023,https://boxd.it/mLvo,1
2023-09-05,"Miraculous: Ladybug & Cat Noir, The Movie",2023,https://boxd.it/hUGA,3
2023-09-05,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,3
2023-09-05,Thor: Love and Thunder,2022,https://boxd.it/mMAY,3
2023-09-05,Naked,2017,https://boxd.it/fmDe,1
2023-09-05,Jumanji: The Next Level,2019,https://boxd.it/ixu4,2.5
2023-09-05,Jumanji: Welcome to the Jungle,2017,https://boxd.it/bUeE,3
2023-09-06,Enemy,2013,https://boxd.it/5xtO,4
2023-09-06,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,3.5
2023-09-06,Aftersun,2022,https://boxd.it/Arw0,5
2023-09-06,This Is Where I Leave You,2014,https://boxd.it/73kQ,3
2023-09-06,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,3
2023-09-07,Kung Fu Panda 2,2011,https://boxd.it/G36,3.5
2023-09-09,Knives Out,2019,https://boxd.it/jWEA,4
2023-09-10,Jojo Rabbit,2019,https://boxd.it/iEBG,3.5
2023-09-10,Edward Scissorhands,1990,https://boxd.it/2aZc,3
2023-09-10,Paper Planes,2014,https://boxd.it/8TYU,3.5
2023-09-11,The Princess Bride,1987,https://boxd.it/26EY,4
2023-09-11,Maleficent,2014,https://boxd.it/3v1u,2.5
2023-09-11,Rise of the Guardians,2012,https://boxd.it/2PXw,3
2023-09-11,The Lorax,2012,https://boxd.it/2w9M,3.5
2023-09-11,Home,2015,https://boxd.it/6JxA,2
2023-09-11,The Angry Birds Movie,2016,https://boxd.it/4PBu,3
2023-09-11,Wreck-It Ralph,2012,https://boxd.it/2TTS,3.5
2023-09-11,Monsters vs Aliens,2009,https://boxd.it/1M50,3.5
2023-09-11,Black Mirror: Fifteen Million Merits,2011,https://boxd.it/hQYU,3.5
2023-09-13,The Notebook,2004,https://boxd.it/1UNE,3
2023-09-14,Black Mirror: Nosedive,2016,https://boxd.it/hK9G,3
2023-09-14,Black Mirror: Playtest,2016,https://boxd.it/hRR6,3.5
2023-09-15,Black Mirror: Shut Up and Dance,2016,https://boxd.it/hRRq,4.5
2023-09-15,Black Mirror: White Bear,2013,https://boxd.it/hRpG,4
2023-09-15,Black Mirror: The Waldo Moment,2013,https://boxd.it/hRpQ,3
2023-09-15,Black Mirror: San Junipero,2016,https://boxd.it/k4aS,4
2023-09-16,Charlie and the Chocolate Factory,2005,https://boxd.it/2b68,3.5
2023-09-18,Your Name.,2016,https://boxd.it/cUqs,4.5
2023-09-18,The Godfather Part II,1974,https://boxd.it/2aNq,4.5
2023-09-18,The Godfather,1972,https://boxd.it/2aNK,4.5
2023-09-18,Babylon,2022,https://boxd.it/mM02,3.5
2023-09-18,Little Women,2019,https://boxd.it/aSVk,3.5
2023-09-19,It Chapter Two,2019,https://boxd.it/h10u,2.5
2023-09-21,Arrival,2016,https://boxd.it/aNGk,3
2023-09-22,Little Miss Sunshine,2006,https://boxd.it/29EW,4
2023-09-24,Trainspotting,1996,https://boxd.it/29XY,5
2023-09-25,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,3
2023-09-26,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,4
2023-09-27,Train to Busan,2016,https://boxd.it/dSQU,3.5
2023-09-27,The Social Network,2010,https://boxd.it/17ue,4
2023-10-02,The Cabinet of Dr. Caligari,1920,https://boxd.it/2aOo,4.5
2023-10-03,The Boogeyman,2023,https://boxd.it/jnna,2
2023-10-04,Scream,1996,https://boxd.it/24EC,4
2023-10-04,The Shining,1980,https://boxd.it/29Nu,4
2023-10-07,The Blair Witch Project,1999,https://boxd.it/26ua,4
2023-10-08,The Nun,2018,https://boxd.it/fBkw,1.5
2023-10-08,The Nun II,2023,https://boxd.it/AyRY,1
2023-10-10,X,2022,https://boxd.it/sxVa,2.5
2023-10-10,Pearl,2022,https://boxd.it/zPbe,3.5
2023-10-10,Black Mirror: White Christmas,2014,https://boxd.it/B3qu,4
2023-10-10,Suspiria,1977,https://boxd.it/1SNW,4.5
2023-10-11,Palm Springs,2020,https://boxd.it/lCXQ,4
2023-10-11,The Dark Knight Rises,2012,https://boxd.it/H3m,3.5
2023-10-11,Kung Fu Panda,2008,https://boxd.it/1Yws,4
2023-10-12,What We Do in the Shadows,2014,https://boxd.it/7eQy,4.5
2023-10-12,The Science of Fictions,2019,https://boxd.it/mMOQ,4
2023-10-12,Black Mirror: Men Against Fire,2016,https://boxd.it/hSBS,4
2023-10-14,Friday the 13th,1980,https://boxd.it/24fs,1.5
2023-10-15,It Follows,2014,https://boxd.it/87wo,3.5
2023-10-15,A Quiet Place,2018,https://boxd.it/fVJQ,3
2023-10-16,Spider-Man: Homecoming,2017,https://boxd.it/aboM,3.5
2023-10-16,Rio 2,2014,https://boxd.it/5jfy,3.5
2023-10-16,The Guardians of the Galaxy Holiday Special,2022,https://boxd.it/t77K,4
2023-10-16,Black Mirror: Hated in the Nation,2016,https://boxd.it/hSBI,3.5
